,gene_name,count_t3d,count_t7d,count_control
184,AC007277.3,1,6,3
442,AC098828.2,0,2,3
11766,SETD4,0,0,3
11658,SDK1,2,14,3
2873,CTD-2210P24.6,0,0,3
6295,LINC02340,1,4,3
8163,PDGFC,3,1,3
12524,STAMBP,0,1,3
12394,SPHKAP,3,2,3
6472,LL22NC03-44A4.3,0,1,3
1731,CABP4,0,0,3
4860,HJURP,0,0,3
9593,RP11-135D11.2,0,1,3
12193,SMARCAL1-AS1,3,0,3
10376,RP11-444C24.1,2,7,3
606,ADAMTS13,2,2,3
479,AC114803.3,0,1,3
8040,PASK,3,0,3
2839,CTD-2040G12.2,1,5,3
9602,RP11-1396O13.23,3,1,3
8478,PLXNB2,1,3,3
6541,LRIG1,0,3,3
14033,ZCCHC8,2,1,3
10560,RP11-520F22.1,0,0,3
6574,LRRC37A2,0,0,3
4697,GSTM5,2,0,3
13830,WDR27,0,8,3
5902,LINC01006,0,4,3
13748,VIT,1,4,3
4801,HDGFL3,0,0,3
8644,PPP3R1,0,0,3
11459,RPUSD3,0,0,3
1130,ARHGEF2-AS1,0,0,3
6976,MIB1,1,2,3
1872,CBR4,2,2,3
5675,LCLAT1,0,1,3
3190,DDX49,0,0,3
13274,TPSD1,0,0,3
232,AC009950.2,1,7,3
4190,FOLH1,0,0,3
1176,ARMH3,0,1,3
11448,RPS6KA5,2,4,3
5552,KLHL30,0,0,3
1577,C11orf65,0,5,3
12654,SUSD4,2,3,3
1493,BMX,0,0,3
13248,TP53I13,0,3,3
12599,STS,2,2,3
1648,C22orf34,1,0,3
5004,IARS1,0,0,3
12997,TJP2,0,2,3
5746,LIN28B,2,1,3
2162,CEP192,0,3,3
12256,SNED1-AS1,0,5,3
11434,RPS15A,0,0,3
4235,FRMPD4,0,1,3
7462,NDUFA10,0,2,3
965,AOAH,2,5,3
9449,RP11-1035H13.3,0,0,3
7499,NEIL2,0,0,3
2173,CEP83,1,2,3
11338,RP5-864K19.6,0,1,3
2170,CEP68,0,0,3
1467,BIRC6,2,1,3
7776,NUDCD3,0,2,3
1009,AP006621.9,0,0,3
8981,RAB5C,0,0,3
5545,KLHL23,2,2,3
11339,RP5-864K19.7,0,0,3
8807,PSMD1,2,5,3
5147,INPP4A,2,2,3
10728,RP11-616M22.5,0,0,3
224,AC009498.1,1,0,3
4269,FZD6,0,0,3
2509,COL4A6,0,4,3
9485,RP11-10K16.1,0,0,3
7155,MROH2A,0,0,3
4559,GPHN,2,6,3
12660,SV2B,2,1,3
3467,DTNBP1,1,0,3
11493,RTN4,2,3,3
1158,ARL17A,0,0,3
8835,PTCHD4,0,1,3
14268,ZNF618,2,3,3
12369,SPATA5,2,4,3
7307,MYL1,1,0,3
7038,MIR646HG,1,2,3
2344,CLCN3P1,0,0,3
2346,CLCN5,0,0,3
5997,LINC01322,2,3,3
9363,RP1-137D17.4,1,11,3
14357,ZRANB2-AS2,1,1,3
7064,MLLT10,0,5,3
9852,RP11-240L7.5,2,0,3
12338,SP110,0,3,3
3227,DERA,1,2,3
14373,ZSWIM6,1,1,3
2256,CHD9,0,7,3
3795,ERVK13-1,0,0,3
9717,RP11-171L9.1,2,4,3
10943,RP11-74A12.3,0,0,3
1251,ATF2,1,1,3
13056,TMEM131L,0,1,3
14067,ZFP64,1,6,3
8432,PLEKHB2,2,2,3
261,AC011997.1,1,3,3
1428,BCL2L14,0,0,3
7110,MON2,0,2,3
8986,RAB9B,0,0,3
2425,CNDP2,0,0,3
11337,RP5-864K19.4,1,4,3
6962,MGAT4D,0,1,3
1091,ARHGAP18,1,0,3
2300,CHST11,2,8,3
4979,HSPE1-MOB4,0,4,3
9166,REXO4,1,3,3
11191,RP3-410C9.3,0,0,3
8929,PYY,0,2,3
5881,LINC00923,2,7,3
6992,MIER2,1,3,3
7102,MOB4,0,0,3
1737,CACNA1C,1,3,3
12290,SNX25,0,3,3
5323,KAT6B,1,4,3
3867,F2,0,0,3
2403,CLUHP3,0,1,3
13443,TTC28,2,14,3
12725,TAF1B,1,0,3
3601,EHD4,0,1,3
3335,DNAH11,2,14,3
12784,TBC1D30,1,1,3
1985,CCNF,1,2,3
6997,MINAR1,0,3,3
12469,SSBP3,2,6,3
9370,RP1-150O5.4,0,2,3
3720,EPB41,3,4,3
675,ADK,0,9,3
11043,RP11-814P5.1,0,0,3
1617,C1QTNF7,0,0,3
9019,RALGAPB,1,2,3
6437,LINC02832,2,0,3
12243,SNAI1,1,0,3
7439,NCL,0,1,3
7915,OSMR-AS1,0,3,3
5149,INPP5A,3,7,3
7269,MUC20,0,0,3
6775,MAPT-AS1,0,7,3
1813,CARD11,3,4,3
6695,MAIP1,0,5,3
12942,THADA,0,3,3
2701,CTA-246H3.13,0,0,3
2702,CTA-246H3.14,0,0,3
1017,AP2B1,1,5,3
10261,RP11-397E7.6,0,0,3
1269,ATM,1,3,3
7050,MKLN1,3,11,3
10260,RP11-397E7.4,0,0,3
2505,COL4A2,2,14,3
2455,CNTFR,2,5,3
7270,MUC20-OT1,0,0,3
13731,VCPIP1,0,0,3
6612,LRRTM4,3,8,3
9523,RP11-116D2.1,0,0,3
4830,HES2,0,2,3
4829,HERPUD2,0,1,3
6676,MAD1L1,3,13,3
13749,VKORC1L1,3,0,3
1319,ATP8A2,3,13,3
10164,RP11-360K13.1,2,0,3
6704,MAML2,1,1,3
1661,C2orf80,0,0,3
4277,GAB2,2,0,3
5789,LINC00383,0,0,3
2076,CDH3,1,3,3
1993,CCNYL1,3,1,3
4570,GPR135,0,1,3
5830,LINC00571,1,0,3
1381,BACH2,3,1,3
8174,PDK1,2,4,3
5344,KBTBD11-OT1,0,6,3
6180,LINC01953,1,0,3
1902,CCDC148,3,6,3
5078,IL12A-AS1,3,5,3
13819,WDFY3,1,4,3
1264,ATG7,1,3,3
3826,EVA1A,3,10,3
6719,MAP2K1,0,2,3
3340,DNAH3,2,3,3
13958,YIPF4,1,2,3
14232,ZNF536,2,7,3
1129,ARHGEF2,1,6,3
4942,HPSE2,1,8,3
904,ANKRD13B,0,1,3
4960,HSD17B13,0,0,3
13467,TTLL3,0,0,3
12061,SLC38A11,0,0,3
7797,NUP88,0,0,3
10298,RP11-414K7.1,0,0,3
798,AKR1A1,0,0,3
1992,CCNY,1,11,3
5734,LIG3,0,0,3
6849,MCTP2,0,0,3
6862,MDS2,0,0,3
10217,RP11-383A19.1,0,12,3
5477,KIAA2012-AS1,0,1,3
1531,BRMS1L,2,1,3
3906,FAM135B,0,2,3
10349,RP11-433J20.1,0,0,3
7154,MROH1,2,15,3
13373,TRMT9B,0,0,3
7418,NBPF15,0,0,3
13434,TTC1,0,0,3
12912,TFCP2L1,3,1,3
5505,KIF6,3,2,3
428,AC096649.3,1,9,3
7277,MUCL3,0,0,3
382,AC079613.1,1,3,3
4882,HMGCL,0,3,3
3105,DACH2,3,2,3
5384,KCNJ6,3,5,3
3035,CXCR2,1,2,3
9096,RBM19,3,2,3
9041,RAPGEF1,3,2,3
5416,KCTD16,3,0,3
882,ANGPT1,0,1,3
12077,SLC44A1,0,2,3
2327,CIT,3,8,3
8761,PRR20G,0,0,3
6794,MARK3,0,4,3
8395,PLAC1,3,3,3
7312,MYLK,3,3,3
12299,SNX8,3,4,3
12254,SND1,3,6,3
10968,RP11-766N7.5,1,4,3
9544,RP11-122C21.1,0,0,3
12582,STON1,1,0,3
13910,XACT,0,8,3
171,AC006994.2,3,9,3
4676,GS1-259H13.13,0,1,3
4653,GRK5,6,16,3
2669,CSMD1,6,8,3
4106,FEZ2,2,1,3
52,ABCD4,0,0,3
13501,TUSC3,1,1,3
12769,TBC1D1,4,3,3
14278,ZNF655,0,0,3
97,AC002451.3,0,1,3
7409,NAV3,6,6,3
